probe_id,asn,isp,is_target_isp,label,confidence,reason
334,3352.0,Movistar / Telefonica,True,RESIDENTIAL,declared,location tag: home
660,57269.0,Other (AS57269),False,RESIDENTIAL,declared,location tag: home
715,3352.0,Movistar / Telefonica,True,INFRASTRUCTURE,declared,location tag: office
1531,200845.0,Other (AS200845),False,RESIDENTIAL,declared,location tag: home
2001,12479.0,Orange Espana,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
2023,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
2231,216392.0,Other (AS216392),False,RESIDENTIAL,declared,location tag: home
2595,,Other (unknown AS),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
3712,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
3755,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
3785,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
4053,15488.0,Other (AS15488),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
4640,35699.0,Other (AS35699),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
6352,13041.0,Other (AS13041),False,INFRASTRUCTURE,certain,anchor / virtual anchor
6604,15954.0,Other (AS15954),False,INFRASTRUCTURE,certain,anchor / virtual anchor
6668,202422.0,Other (AS202422),False,INFRASTRUCTURE,certain,anchor / virtual anchor
6687,39069.0,Other (AS39069),False,INFRASTRUCTURE,certain,anchor / virtual anchor
6926,48386.0,Other (AS48386),False,INFRASTRUCTURE,certain,anchor / virtual anchor
6980,16552.0,Other (AS16552),False,INFRASTRUCTURE,certain,anchor / virtual anchor
7017,42612.0,Other (AS42612),False,INFRASTRUCTURE,certain,anchor / virtual anchor
7086,15699.0,Other (AS15699),False,INFRASTRUCTURE,certain,anchor / virtual anchor
7089,15699.0,Other (AS15699),False,INFRASTRUCTURE,certain,anchor / virtual anchor
7393,56958.0,Other (AS56958),False,INFRASTRUCTURE,certain,anchor / virtual anchor
7536,197712.0,Other (AS197712),False,INFRASTRUCTURE,certain,anchor / virtual anchor
7649,6750.0,Other (AS6750),False,INFRASTRUCTURE,certain,anchor / virtual anchor
7703,198731.0,Other (AS198731),False,INFRASTRUCTURE,certain,anchor / virtual anchor
10836,13287.0,Other (AS13287),False,UNKNOWN,weak-hint,"hardware probe, no location tag"
11124,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
11600,30892.0,Other (AS30892),False,UNKNOWN,weak-hint,"hardware probe, no location tag"
11602,30892.0,Other (AS30892),False,INFRASTRUCTURE,declared,location tag: datacentre
11749,13041.0,Other (AS13041),False,UNKNOWN,weak-hint,"hardware probe, no location tag"
11958,12430.0,Vodafone Espana,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
12153,12479.0,Orange Espana,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
12884,3352.0,Movistar / Telefonica,True,INFRASTRUCTURE,declared,location tag: office
13337,57269.0,Other (AS57269),False,INFRASTRUCTURE,declared,location tag: office
13678,200845.0,Other (AS200845),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
13881,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
13896,766.0,Other (AS766),False,INFRASTRUCTURE,declared,"location tag: academic, core"
14782,12430.0,Vodafone Espana,True,RESIDENTIAL,declared,location tag: home
15118,3352.0,Movistar / Telefonica,True,RESIDENTIAL,declared,location tag: home
15632,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
15873,15704.0,Other (AS15704),False,RESIDENTIAL,declared,location tag: home
18273,51718.0,Other (AS51718),False,UNKNOWN,weak-hint,"hardware probe, no location tag"
18530,15704.0,Other (AS15704),False,RESIDENTIAL,declared,location tag: home
18651,3262.0,Other (AS3262),False,INFRASTRUCTURE,declared,location tag: office
18801,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
18833,57269.0,Other (AS57269),False,UNKNOWN,conflicting,both: home / core
18844,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
19292,44431.0,Other (AS44431),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
19882,15704.0,Other (AS15704),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
20136,57269.0,Other (AS57269),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
20757,12319.0,Other (AS12319),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
21271,15704.0,Other (AS15704),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
21570,207614.0,Other (AS207614),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
21665,12430.0,Vodafone Espana,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
22291,41397.0,Other (AS41397),False,UNKNOWN,weak-hint,"hardware probe, no location tag"
22309,3352.0,Movistar / Telefonica,True,RESIDENTIAL,declared,location tag: home
22338,3352.0,Movistar / Telefonica,True,UNKNOWN,conflicting,both: home / core
22806,203457.0,Other (AS203457),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
23120,61408.0,Other (AS61408),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
23267,57656.0,Other (AS57656),False,INFRASTRUCTURE,declared,"location tag: datacentre, isp"
23268,8311.0,Other (AS8311),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
23333,3352.0,Movistar / Telefonica,True,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
23581,203641.0,Other (AS203641),False,RESIDENTIAL,soft-inference,"behind NAT (system-ipv4-rfc1918), no location tag"
23685,3262.0,Other (AS3262),False,INFRASTRUCTURE,declared,location tag: office
23686,12479.0,Orange Espana,True,RESIDENTIAL,declared,location tag: home
